#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
55,"Mis Dos Pequeñas","Orlando  Cachaíto  López,Angá Diaz,Amadito Valdés,Carlos González,Manuel Galbán",0,131,"jazz latino, son cubano, soul jazz","Cachaito",2001-01-01,04:06,73,60,76,93,97,0,10,-12,C Major,4,2021-12-29,5CqC5UyBJ8GElprORRnRIw,"undefined",8B,GBBGU0161003
56,"Yachts (feat. Chris Coco)","A Man Called Adam,Chris Coco",33,162,"acid jazz, lounge","Collected Works, Volume One",2011-06-13,05:43,58,81,11,83,97,0,10,-12,D#/E♭ Minor,4,2021-12-29,4CFAqfPJlI1jSwavyfMkqv,"undefined",2A,GBYBE0800033
57,"Edges Of Illusion","John Surman",0,116,"free jazz, jazz","Upon Reflection",1979-11-01,10:09,53,7,100,96,39,0,10,-18,D Minor,3,2021-12-29,1pW5dB0Lvc6BHyDCW7vhN7,"undefined",7A,DEB337914801
58,"Je sais qui tu es","Fred Avril,Philippe Monthaye",20,142,"","Lastman (Bande sonore originale de la série)",2017-06-16,02:47,41,86,1,64,27,0,0,-6,B Major,4,2021-12-29,4hR7tcrx71q2KPY4j0BmET,"undefined",1B,FR9W11703208
59,"Rendez-vous","Dita Von Teese,Sébastien Tellier",0,156,"disco italienne, house française, downtempo","Dita Von Teese",2018-02-16,03:46,68,68,40,7,60,0,20,-7,E Minor,4,2021-12-29,03QvR15b6jjMPaSMFoF2kC,"undefined",9A,FRS711700040
60,"Rachid Ouiguini","Toumani Diabaté,Sidiki Diabaté",0,105,"","Toumani & Sidiki",2014-05-05,04:33,62,36,93,95,67,0,10,-12,C♯/D♭ Minor,4,2021-12-29,15d2BcbuuFDgIFJpXCmk3k,"undefined",12A,GBBGU1487003
61,"Le tourbillon","Jeanne Moreau",0,100,"jazz français, chanson, variété française, pop française","Succès Et Confidences",2005-11-21,02:07,75,20,95,0,47,10,10,-12,D#/E♭ Major,4,2021-12-29,0SfpHtKHFHryAbKwU6viHm,"undefined",5B,FR2F46100020
62,"Notion","Tash Sultana",0,122,"","Notion",2017-03-01,05:40,50,42,39,1,7,0,10,-7,E Minor,4,2021-12-29,4hmbwcUs392W3YQzpO0fcj,"undefined",9A,AUW631100929
63,"Perpetuum Mobile","Penguin Cafe Orchestra",45,165,"minimalisme","Preludes, Airs And Yodels (A Penguin Cafe Primer)",1996-01-01,04:29,54,32,91,86,79,0,10,-15,C Major,4,2021-12-29,1MIwRUsj23h7cYn6mNiqHw,"undefined",8B,GBAAA8700127
64,"I'm To Blame","Boardwalk",0,106,"","Boardwalk",2013-10-15,04:34,48,40,54,93,12,0,10,-16,F#/G♭ Major,4,2021-12-29,2dn9catBcWNdiSIF2w7o1b,"undefined",2B,US2S71323010
65,"Saint-tropez blues","Marie Laforêt",44,170,"chanson, pop française, jazz français, variété française","Balade à Saint-Germain, vol 6. Rue Saint Benoit: Nouvelle Vague",2014-06-16,02:19,49,22,81,0,77,0,10,-11,G#/A♭ Major,4,2021-12-29,1AHRCyqA0oTITwSx5k6006,"undefined",4B,FRPG51402350
66,"Neige","Airelle Besson,Nelson Veras",0,99,"jazz français, jazz","Prélude",2014-10-13,05:42,49,8,99,89,35,0,0,-16,C Minor,3,2021-12-29,3s90ZWcZBfe2e9LXrI9XlJ,"undefined",5A,FRZ131470040
67,"Kiss the Sky","Shawn Lee's Ping Pong Orchestra",0,85,"","Voices and Choices",2006-01-30,03:39,56,68,8,70,30,0,10,-6,F#/G♭ Minor,4,2021-12-29,5zVW76plgG9B4904OXXXZd,"undefined",11A,USUR40720704
68,"Rupturing","Emily Jane White",29,95,"indie folk","They Moved in Shadow All Together",2016-04-29,04:29,28,36,93,65,10,0,10,-12,F Major,3,2021-12-29,5X8yswF6FHiS1qHXODI48l,"undefined",7B,FR59Y1500040
69,"Perfidia","Mambo All Stars",0,143,"son cubano, bolero, jazz latino, mambo","Dexter (Music from the Showtime Original Series)",2007-01-01,02:36,80,86,38,1,83,0,0,-6,C Major,4,2021-12-29,3HvKUtGKy63aUrjSnk1vJJ,"undefined",8B,USPS19700001
70,"Look","Sébastien Tellier",0,90,"house française, downtempo","Sexuality",2008-02-25,04:34,91,39,55,52,82,0,10,-8,G Minor,4,2021-12-29,0GVQb2UqgxEUrXidPgklFj,"undefined",6A,FRS710700006
71,"La Cara Infinita","Dorian Wood",17,94,"indie latino","Rattle Rattle",2013-03-01,02:55,53,89,0,7,52,0,50,-8,E Minor,4,2021-12-29,4DqGnNv84kx2avlP3Ik9Wl,"undefined",9A,uscgj1300843
72,"Only Time","Enya",72,83,"new age, musique celtique","A Day Without Rain",2000-11-11,03:38,42,25,84,66,21,0,10,-14,D#/E♭ Major,4,2021-12-29,6FLwmdmW77N1Pxb1aWsZmO,"undefined",5B,GBAHT0005349
73,"Mon Nom","Rodrigo Amarante",0,127,"","Cavalo",2014-01-27,04:08,67,56,92,19,48,0,10,-13,G Major,4,2021-12-29,3Dq7TbjdmTxmZ9PkLbofHu,"undefined",9B,BRRGE1300293
74,"Freaking Out the Neighborhood","Mac DeMarco",0,143,"indie","2",2012-10-16,02:53,56,83,6,3,85,10,30,-6,G#/A♭ Minor,4,2021-12-29,25SJaCCPiosugnlY53VhRG,"undefined",1A,QMMZN1200048
75,"Luka","Suzanne Vega",0,125,"auteurs-compositeurs-interprètes","Close Up, Vol. 2 - People & Places",2010-10-17,03:13,76,23,88,0,72,0,10,-10,F#/G♭ Major,4,2021-12-29,6wXy0MosS6KGV8yowVradf,"undefined",2B,USA6W1025201
76,"Black (feat. Norah Jones)","Danger Mouse,Daniele Luppi,Norah Jones",50,170,"","Rome",2011-05-16,03:31,45,64,14,40,75,0,10,-10,F Major,4,2021-12-29,5H43dazn2x2O9dkDVvaiDS,"undefined",7B,GBAYE1001387
77,"Ya Rayah","Rachid Taha",0,101,"raï, gnaoui","Diwan",1998-01-01,06:13,80,89,37,0,96,0,10,-7,E Minor,5,2021-12-29,0GwawEA81IIdSCDgOJqmwc,"undefined",9A,FRZ019203450
78,"Emmenez-moi","Charles Aznavour",3,106,"chanson, variété française, jazz français","Entre deux rêves (Remastered 2014)",1967-00-00,03:32,37,55,74,0,59,0,40,-7,A Minor,3,2021-12-29,61Yh6AEwsba6RYsrWiNmI0,"undefined",8A,FRZ116700340
79,"Milk Teeth","Mohini Geisweiller",15,100,"rock électronique","Mohini Geisweiller",2010-06-28,03:27,58,54,28,3,17,0,0,-11,C♯/D♭ Minor,4,2021-12-29,5Oyo0Gssdniu9mYAlQ6avv,"undefined",12A,FRZ081000937
80,"Le bilan","Nèg' Marrons",59,169,"ragga","Le Bilan",2000-03-27,04:23,72,77,18,0,93,30,0,-6,F#/G♭ Minor,4,2021-12-29,4hElE1DmCfpoFVjczvfB5U,"undefined",11A,FRZ080000190
81,"Coco","Sébastien Tellier",0,99,"house française, downtempo","Confection",2013-10-14,02:51,31,63,39,88,15,0,10,-11,G Minor,4,2021-12-29,5JlYsRNuNNV0zlhO67B1Qj,"undefined",6A,FRS711300750
82,"Boom Boom","John Lee Hooker",0,161,"blues, blues classique, blues rock, soul blues, country blues, jazz blues","Burnin'",1962-01-01,02:32,44,46,62,0,92,0,10,-14,A#/B♭ Major,4,2021-12-29,50yVGUzCmycRbnTuO96uWC,"undefined",6B,USVJ10400579
83,"Mathar - Radio Mix","Indian Vibes",31,118,"","mathar remixes",1994-09-26,03:54,74,68,4,53,39,0,10,-9,A Major,4,2021-12-29,1RCWURNqpCKRSjfYSyCkkA,"undefined",11B,FRZ119405533
84,"Maybe It Won't Last","The Woodentops",0,104,"jangle pop","Before During After. The Woodentops 82-92",2013-05-27,03:05,61,98,4,0,59,0,20,-7,A Minor,4,2021-12-29,5z4vaZ4aH1zdxF3m7wQt5n,"undefined",8A,GBBTF1200327
85,"Just My Soul Responding","Amber Run",39,138,"","5AM (Expanded Edition)",2015-04-20,03:58,52,79,1,0,39,0,10,-7,A Minor,4,2021-12-29,5QPachkZsP2xHp52FIoX0d,"undefined",8A,GBARL1400306
86,"78","Baden Baden",0,156,"pop française","Coline",2012-00-00,04:27,44,74,0,5,13,0,10,-7,G#/A♭ Major,4,2021-12-29,3WuoTzYIsaPBGqEuaNpTao,"undefined",4B,FR6U71000001
87,"Nothing Else Matters - Bonus Track","Apocalyptica",0,135,"metal symphonique, rock symphonique","Plays Metallica by Four Cellos (Remastered)",2016-07-22,04:49,34,37,69,88,20,0,10,-6,D Minor,3,2021-12-29,16cpsA0y2uPX57XTEcMobj,"undefined",7A,DERK41600024
88,"Elephant Woman","Blonde Redhead",0,167,"shoegaze, dream pop","Misery Is A Butterfly",2004-02-23,04:49,45,81,0,66,48,0,0,-6,C♯/D♭ Minor,4,2021-12-29,6umL7Ne4hbRmRlK4vjvjpi,"undefined",12A,GBAFL0300096
89,"Angie - 2015 Remaster","Bert Jansch",0,80,"folk, folk rock, folk acoustique, country blues","Bert Jansch",1965-01-01,03:09,48,22,46,88,40,0,10,-18,C Minor,4,2021-12-29,4QTV3dLUyYu5vFPEFvA1jg,"undefined",5A,GB5KW1599368
90,"Birth of the Blues","Sammy Davis Jr.",33,101,"big band, swing, standards pour adultes, jazz vocal","A Treasury Of Golden Hits",2007-09-18,04:32,36,37,75,0,43,0,20,-11,C Major,4,2021-12-29,5E4VwWbY7NYJHUEptyofcZ,"undefined",8B,USRE10500876
91,"Mes emmerdes - Remastered 2014","Charles Aznavour",0,135,"chanson, variété française, jazz français","Voilà que tu reviens",1976-00-00,03:06,54,78,26,0,60,10,10,-6,D#/E♭ Major,4,2021-12-29,5Uf5czTkCsJM3Hkh0Ycvm6,"undefined",5B,FRZ117600270
92,"A Dead Leaf Dance","As The Stars Fall",11,110,"post-rock","Tempus Fugit",2010-04-26,04:00,67,62,92,93,21,0,0,-9,F#/G♭ Major,4,2021-12-29,1CkAs81K3nczk5tMCWEaXm,"undefined",2B,FR6V81084912
93,"Egyptian Fantasy","Vincent Peirani,Emile Parisien",39,140,"jazz français, jazz","Belle Époque",2014-03-28,04:48,68,18,99,89,85,0,10,-15,B Minor,1,2021-12-29,4lw4AT0CJnNcF0EbEtq05E,"undefined",10A,DEA891400210
94,"Love's a Stranger","Warhaus",0,162,"","Warhaus",2017-10-13,03:26,56,59,19,0,62,0,10,-9,A Minor,4,2021-12-29,7xZeYL5wzHhpe6JSm8y65b,"undefined",8A,GBENL1701900
95,"They Can Say What They Want","The Woodentops",0,128,"jangle pop","Before During After. The Woodentops 82-92",2013-05-27,04:15,69,83,7,1,84,0,10,-6,B Major,4,2021-12-29,0mvhV0w2T2Ty3pQXag8wey,"undefined",1B,GBBTF1200328
96,"Utrus Horas","Orchestra Baobab",0,87,"afropop","Pirates Choice",2015-02-22,08:43,73,27,83,0,62,0,30,-15,D Major,4,2021-12-29,2tKqgQjnGgcPNTDViorQyU,"undefined",10B,GBBGU0163001
97,"Cumbia Espacial","Ondatrópica",0,91,"afrobeat latino, chicha, jazz latino, cumbia","Ondatrópica (Deluxe Version)",2012-07-16,04:05,71,89,36,76,77,0,10,-8,G#/A♭ Major,4,2021-12-29,0TEgK2OCQibruKMkHRkB4q,"undefined",4B,GBUQH1200083
98,"¿Porqué te vas?","Jeanette",71,173,"","Porque Te Vas",2011-03-11,03:21,61,46,43,0,96,0,10,-11,C Minor,4,2021-12-29,11rsK9GDZ9UdWsxtDqnMmN,"undefined",5A,ES5099800415
99,"Two Weeks","Grizzly Bear",2,160,"indie, pop baroque, indie rock","Veckatimest",2009-05-24,04:03,54,71,29,1,70,0,0,-6,F Major,4,2021-12-29,0iTpQYzJnYgh7kIxyq8A2O,"undefined",7B,GBBPW0900065
100,"Den Thelo Pia Na Xanarthis - Remix","Meri Lida,Manolis Hiotis,Imam Baildi",38,105,"laïkó, entehno","Imam Baildi",2007-01-01,03:31,68,74,12,13,69,0,20,-6,D Major,4,2021-12-29,3kww9UCcjfDGeoEdk2xICg,"undefined",10B,GRTC10700088
